Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale,Source
57000.0,VW,Golf,9.0,146000.0,Diesel,Manuelle,5.0,Baniola
29000.0,VW,Polo,15.0,178000.0,Essence,Manuelle,4.0,Baniola
72000.0,VW,Tiguan,10.0,71000.0,Essence,Automatique,9.0,Baniola
72000.0,VW,Golf,8.0,92000.0,Essence,Manuelle,6.0,Baniola
22500.0,VW,Polo,18.0,278000.0,Essence,Manuelle,4.0,Baniola
18500.0,VW,Polo,22.0,300.0,Essence,Manuelle,4.0,Baniola
36500.0,VW,Golf,15.0,206101.0,Essence,Manuelle,7.0,Baniola
19500.0,VW,Polo,21.0,200.0,Essence,Manuelle,4.0,Baniola
17500.0,VW,Polo,20.0,12345.0,Essence,Manuelle,4.0,Baniola
73000.0,VW,Tiguan,10.0,128500.0,Essence,Automatique,9.0,Baniola
39000.0,VW,Golf,12.0,321000.0,Essence,Manuelle,5.0,Baniola
33000.0,VW,Passat,16.0,321000.0,Diesel,Manuelle,6.0,Baniola
79000.0,VW,Cc,8.0,62000.0,Essence,Manuelle,7.0,Baniola
30000.0,VW,Jetta,16.0,321000.0,Essence,Manuelle,7.0,Baniola
19000.0,VW,Polo,20.0,285000.0,Essence,Manuelle,5.0,Baniola
30000.0,VW,5,17.0,280000.0,Essence,Manuelle,5.0,Baniola
46000.0,VW,Golf,12.0,278.0,Diesel,Manuelle,5.0,Baniola
45000.0,VW,Passat,16.0,240000.0,Diesel,Automatique,8.0,Baniola
32000.0,VW,Jetta,17.0,272000.0,Essence,Manuelle,7.0,Baniola
119000.0,VW,8,2.0,30000.0,Essence,Manuelle,7.0,Baniola
14000.0,VW,Caddy,23.0,250000.0,Diesel,Manuelle,8.0,Baniola
75000.0,VW,Tiguan,10.0,128500.0,Essence,Automatique,9.0,Baniola
145000.0,VW,Tiguan,3.0,89280.0,Hybride,Automatique,8.0,Baniola
27500.0,VW,5,21.0,2600.0,Diesel,Manuelle,6.0,Baniola
27580.0,VW,5,21.0,2800.0,Diesel,Manuelle,6.0,Baniola
95800.0,VW,Tiguan,7.0,113.0,Essence,Automatique,8.0,Baniola
82000.0,VW,Cc,6.0,81000.0,Essence,Manuelle,6.0,Baniola
42000.0,VW,Passat,12.0,236000.0,Diesel,Manuelle,7.0,Baniola
25000.0,VW,Passat,20.0,280.0,Essence,Manuelle,7.0,Baniola
8500.0,VW,Polo,27.0,321000.0,Essence,Manuelle,5.0,Baniola
120000.0,VW,Passat,5.0,90000.0,Hybride,Automatique,8.0,Baniola
55000.0,VW,Amarok,13.0,292000.0,Diesel,Manuelle,8.0,Baniola
12300.0,VW,Caddy,25.0,400.0,Diesel,Manuelle,8.0,Baniola
60000.0,VW,Passat,11.0,152650.0,Diesel,Manuelle,5.0,Baniola
60000.0,VW,Golf,10.0,250.0,Diesel,Manuelle,7.0,Baniola
35000.0,VW,Polo,9.0,220000.0,Essence,Manuelle,4.0,Baniola
37000.0,VW,Golf,14.0,267000.0,Essence,Manuelle,7.0,Baniola
10300.0,VW,Golf,34.0,228532.0,Diesel,Manuelle,4.0,Baniola
59000.0,VW,Golf,7.0,177000.0,Essence,Automatique,6.0,Baniola
68000.0,VW,7,4.0,78000.0,Essence,Automatique,6.0,Baniola
27600.0,VW,Golf,17.0,320.0,Diesel,Manuelle,6.0,Baniola
