Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
152900.0,PEUGEOT,"PEUGEOT EXPERT COMBI
2.0 L HDI 9 PLACES Version unique",2025,0,0,Diesel,Manuelle,8.0
152900.0,NISSAN,"NISSAN QASHQAI E-POWER
1.5 L N-CONNECTA Version unique",2025,0,0,Hybride,Automatique,8.0
140980.0,KIA,KIA SPORTAGE 1.6 l T-GDI 7-DCT EX,2025,0,0,Essence,Automatique,10.0
154980.0,VOLKSWAGEN,VOLKSWAGEN TIGUAN 1.4 L TSI Life,2025,0,0,Essence,Automatique,8.0
155900.0,BMW,BMW SÉRIE 1 118 Business Line,2025,0,0,Essence,Automatique,8.0
156990.0,BYD,"BYD SONG PLUS
1.5 L DM-I Version unique",2025,0,0,Hybride,Automatique,7.0
139800.0,SSANGYONG,SSANGYONG MUSSO 2.2 l Diesel 4WD CRM,2025,0,0,Diesel,Manuelle,7.0
159000.0,MERCEDES-BENZ,MERCEDES-BENZ CLASSE A 200 Progressive,2025,0,0,Essence,Automatique,9.0
159000.0,FIAT,FIAT SCUDO COMBI 2.0 L HDI 9 places,2025,0,0,Diesel,Manuelle,8.0
159600.0,HYUNDAI,"HYUNDAI STARIA 11 PLACES
2.2 CRDI Version unique",2025,0,0,Diesel,Manuelle,8.0
159800.0,TOYOTA,TOYOTA HILUX DOUBLE CABINE 2.4 L Diesel D-4D 4x4,2025,0,0,Diesel,Manuelle,8.0
160000.0,MERCEDES-BENZ,MERCEDES-BENZ CLASSE A BERLINE 200 Progressive,2025,0,0,Essence,Automatique,9.0
164950.0,MG,"MG RX9
2.0 T ULTIMATE Version unique",2025,0,0,Essence,Automatique,11.0
165900.0,BMW,BMW SÉRIE 2 GRAN COUPÉ 218 Collection Edition Spéciale,2025,0,0,Essence,Automatique,8.0
165990.0,AUDI,"AUDI A3 BERLINE
35 TFSI DYNAMIC EDITION Version unique",2025,0,0,Essence,Automatique,8.0
168500.0,TOYOTA,"TOYOTA RAV 4 HYBRIDE
2.5 L Version unique",2025,0,0,Hybride,Automatique,9.0
168950.0,HYUNDAI,HYUNDAI IONIQ 5 58 kWh 2WD HG,2025,0,0,Electrique,Automatique,3.0
169900.0,MINI,MINI COUNTRYMAN 1.5 L Classic BVA,2025,0,0,Essence,Automatique,8.0
169900.0,PEUGEOT,"PEUGEOT TRAVELLER
2.0 L HDI 9 PLACES Version unique",2025,0,0,Diesel,Manuelle,8.0
145000.0,FORD,FORD RANGER 2.0 L 170 ch 4x4 XLT BVM,2025,0,0,Diesel,Manuelle,9.0
171990.0,HONDA,"HONDA CIVIC HYBRIDE
2.0 L E-HEV Version unique",2025,0,0,Hybride,Automatique,7.0
172980.0,CUPRA,CUPRA TERRAMAR 1.4 TSI,2025,0,0,Essence,Automatique,8.0
174980.0,KIA,KIA SPORTAGE HYBRIDE 1.6 l T-GDI 4x2 GT-Line,2025,0,0,Hybride,Automatique,10.0
166900.0,MINI,MINI 5 PORTES 1.5 l Cooper Favoured,2025,0,0,Essence,Automatique,6.0
176900.0,OMODA,"OMODA & JAECOO J8
1.5 TGDI SHS 4WD Version unique",2025,0,0,Hybride,Automatique,7.0
179500.0,NISSAN,"NISSAN NAVARA
2.5 DCI 4X4 DOUBLE CABINE BVA Version unique",2025,0,0,Diesel,Automatique,10.0
179950.0,MG,"MG CYBERSTER
77 KWH RWD Version unique",2025,0,0,Electrique,Unknown,11.0
180000.0,HYUNDAI,"HYUNDAI TUCSON
1.6 L T-GDI 7-DCT 4WD TOP GRADE Version unique",2025,0,0,Essence,Automatique,10.0
184580.0,SSANGYONG,"SSANGYONG TORRES
1.5 L T-GDI 4WD BVA Version unique",2025,0,0,Essence,Automatique,9.0
169950.0,HYUNDAI,HYUNDAI TUCSON HYBRIDE 1.6 l T-GDI 2WD Intuitive BVA 6,2025,0,0,Hybride,Automatique,9.0
185900.0,MINI,"MINI 3 PORTES
1.5 L JOHN COOPER WORKS Version unique",2025,0,0,Essence,Automatique,8.0
189900.0,VOLVO,VOLVO XC40 2.0 L Plus Dark,2025,0,0,Hybride,Automatique,9.0
189900.0,MINI,"MINI COUNTRYMAN ELECTRIC
42.5 KWH FAVOURED Version unique",2025,0,0,Electrique,Automatique,6.0
189990.0,HONDA,"HONDA ACCORD
1.5 L CVT Version unique",2025,0,0,Essence,Automatique,10.0
190990.0,HONDA,"HONDA CR-V
1.5 T CVT Version unique",2025,0,0,Essence,Automatique,11.0
194900.0,GWM,"GWM TANK 300 HEV
2.0 L Version unique",2025,0,0,Hybride,Automatique,14.0
196980.0,VOLKSWAGEN,VOLKSWAGEN AMAROK 2.0 L TDI 170 ch 4x4 Life BVA,2025,0,0,Diesel,Automatique,5.0
